Designated,Designated Use,Line Name
No,All,17-35
No,All,17-35
No,All,17-35
No,All,17-35
No,All,17-35
No,All,17-35
No,All,17-35
No,All,17-35
Yes,All,17-35
Yes,All,18-224
No,All,6-15
No,All,6-15
No,All,6-15
No,All,7-24
No,All,7-24
No,All,7-24
No,All,7-24
No,All,7-24
No,All,7-24
No,All,7-24
No,All,7-24
No,All,7-24
No,All,7-24
No,All,7-24
No,All,7-24
Yes,All,7-24
Yes,All,7-24
Yes,All,7-24
Yes,All,7-24
Yes,All,7-24
Yes,All,7-24
Yes,All,7-24
Yes,All,7-24
Yes,All,7-24
Yes,All,7-24
No,All,15-104
No,All,15-104
No,All,15-104
No,All,15-104
No,All,15-104
No,All,15-104
No,All,15-104
No,All,15-104
No,All,15-104
No,All,15-104
No,All,15-104
No,All,15-104
No,All,15-104
No,All,15-104
No,All,15-104
No,All,15-104
No,All,15-104
No,All,15-104
No,All,15-104
No,All,15-104
No,All,15-104
No,All,15-104
No,All,15-104
No,All,15-104
No,All,15-104
No,All,15-104
No,All,15-104
No,All,15-104
No,All,15-104
No,All,15-104
No,All,15-104
No,All,15-104
No,All,15-104
No,All,15-104
No,All,15-104
No,All,15-104
No,All,15-104
No,All,15-104
No,All,16-104
No,All,16-104
No,All,16-104
No,All,16-104
No,All,16-104
No,All,16-104
No,All,16-104
No,All,16-104
No,All,16-104
No,All,16-104
No,All,16-104
No,All,16-104
No,All,6-15
No,All,6-15
No,All,6-15
No,All,6-15
No,All,6-15
No,All,6-15
No,All,6-15
No,All,6-15
No,All,6-15
No,All,6-15
No,All,6-15
No,All,6-15
No,All,6-15
No,All,6-15
No,All,6-15
No,All,6-15
No,All,6-15
Yes,All,6-15
Yes,All,6-15
Yes,All,6-15
Yes,All,6-15
Yes,All,6-15
Yes,All,6-15
Yes,All,6-15
Yes,All,6-15
No,All,7-24
No,All,7-24
No,All,7-24
No,All,7-24
No,All,7-24
No,All,7-24
No,All,7-24
No,All,7-24
No,All,7-24
No,All,7-24
No,All,7-24
No,All,8-104
No,All,8-104
No,All,8-104
No,All,8-104
No,All,8-104
No,All,8-104
No,All,8-104
No,All,8-104
No,All,8-104
No,All,8-104
No,All,8-104
No,All,8-104
Yes,All,8-104
Yes,All,8-104
Yes,All,16-24
Yes,All,16-24
Yes,All,16-24
Yes,All,16-24
Yes,All,16-24
Yes,All,16-24
Yes,All,16-24
Yes,All,16-24
Yes,All,16-24
Yes,All,24-228
Yes,All,24-228
Yes,All,24-228
Yes,All,24-228
Yes,All,24-228
Yes,All,24-228
Yes,All,24-228
Yes,All,24-228
Yes,All,24-228
Yes,All,24-228
Yes,All,24-228
Yes,All,24-228
Yes,All,24-228
Yes,All,24-228
Yes,All,24-228
Yes,All,24-228
Yes,All,24-228
Yes,All,24-228
Yes,All,24-228
Yes,All,24-228
Yes,All,24-228
Yes,All,24-228
Yes,All,113-114
Yes,All,113-116
Yes,All,44-239
Yes,All,24-228
Yes,All,24-228
No,All,116-206
No,All,110-114
No,All,110-114
No,All,110-114
No,All,110-114
No,All,110-114
No,All,110-114
No,All,110-114
No,All,110-114
No,All,110-114
No,All,110-114
No,All,110-114
No,All,110-114
No,All,110-114
No,All,110-114
No,All,110-114
No,All,110-114
No,All,110-114
No,All,110-114
No,All,110-114
No,All,110-114
No,All,110-114
No,All,110-114
No,All,110-114
No,All,110-114
No,All,110-114
No,All,110-114
No,All,110-114
No,All,110-114
No,All,110-114
No,All,110-114
No,All,110-114
Yes,All,110-233
Yes,All,110-233
No,All,113-114
Yes,All,113-114
Yes,All,113-114
Yes,All,113-116
Yes,All,113-116
Yes,All,113-116
Yes,All,113-114
Yes,All,113-114
Yes,All,113-114
Yes,All,113-114
Yes,All,113-114
Yes,All,113-114
Yes,All,113-114
Yes,All,113-114
Yes,All,113-114
Yes,All,113-114
Yes,All,113-114
Yes,All,113-114
Yes,All,113-114
Yes,All,113-114
Yes,All,113-114
Yes,All,113-114
Yes,All,113-114
Yes,All,113-114
Yes,All,113-114
Yes,All,113-114
Yes,All,113-114
Yes,All,113-114
Yes,All,113-114
Yes,All,113-114
Yes,All,113-114
No,All,113-116
Yes,All,113-116
Yes,All,113-116
Yes,All,113-116
Yes,All,113-116
Yes,All,113-116
No,All,114-241
No,All,114-241
No,All,114-241
Yes,All,114-241
Yes,All,114-241
Yes,All,116-206
No,All,116-206
Yes,All,113-116
Yes,All,113-116
Yes,All,113-116
Yes,All,113-116
Yes,All,113-116
No,All,114-241
No,All,114-241
No,All,114-241
No,All,114-241
No,All,114-241
No,All,114-241
No,All,114-241
No,All,114-241
No,All,114-241
No,All,114-241
No,All,114-241
No,All,114-241
No,All,114-241
No,All,114-241
No,All,114-241
No,All,114-241
No,All,114-241
No,All,114-241
No,All,114-241
No,All,114-241
No,All,114-241
No,All,114-241
No,All,114-241
No,All,114-241
No,All,114-241
No,All,114-241
No,All,114-241
No,All,114-241
Yes,All,114-241
Yes,All,114-241
Yes,All,114-241
Yes,All,114-241
Yes,All,114-241
No,All,116-206
No,All,116-206
No,All,116-206
No,All,116-206
No,All,116-206
No,All,116-206
No,All,116-206
No,All,116-206
No,All,116-206
No,All,116-206
No,All,116-206
No,All,116-206
No,All,116-206
No,All,116-206
No,All,116-206
No,All,116-206
No,All,116-206
No,All,116-206
No,All,116-206
No,All,116-206
No,All,116-206
No,All,116-206
No,All,116-206
No,All,116-206
No,All,116-206
No,All,116-206
No,All,116-206
No,All,116-206
No,All,116-206
No,All,116-206
No,All,116-206
No,All,116-206
No,All,116-206
No,All,116-206
No,All,116-206
No,All,116-206
No,All,116-206
No,All,116-206
No,All,116-206
No,All,116-206
No,All,116-206
No,All,116-206
No,All,116-206
No,All,116-206
No,All,116-206
No,All,116-206
No,All,116-206
No,All,116-206
No,All,116-206
No,All,116-206
No,All,116-206
Yes,All,116-206
Yes,All,116-206
Yes,All,116-206
Yes,All,116-206
No,All,232-233 (E)
Yes,All,232-233 (W)
No,All,39-113
Yes,All,44-110
Yes,All,44-110
No,All,44-239
No,All,44-239
No,All,44-239
No,All,44-239
No,All,44-239
No,All,44-239
No,All,44-239
No,All,44-239
No,All,44-239
No,All,44-239
No,All,44-239
No,All,44-239
No,All,44-239
No,All,44-239
No,All,44-239
Yes,All,44-239
Yes,All,44-239
Yes,All,44-239
Yes,All,44-239
Yes,All,44-239
Yes,All,44-239
Yes,All,44-239
Yes,All,44-239
Yes,All,44-239
Yes,All,44-239
Yes,All,44-239
Yes,All,44-239
Yes,All,44-239
Yes,Electric-only,66-209
Yes,Electric-only,66-209
Yes,Electric-only,66-209
Yes,Electric-only,66-209
Yes,Electric-only,66-209
Yes,Electric-only,66-209
No,All,68-116
No,All,68-116
Yes,All,68-116
Yes,All,68-116
Yes,All,68-116
Yes,All,68-116
Yes,All,68-116
No,Electric-only,229-254
No,Electric-only,229-254
No,Electric-only,229-254
No,Electric-only,229-254
No,Electric-only,229-254
No,Electric-only,229-254
No,Electric-only,229-254
No,Electric-only,229-254
No,Electric-only,229-254
No,Electric-only,229-254
No,Electric-only,229-254
No,Electric-only,229-254
No,Electric-only,229-254
No,Electric-only,229-254
No,Electric-only,229-254
No,Electric-only,229-254
No,Electric-only,229-254
No,Electric-only,229-254
No,Electric-only,229-254
No,Electric-only,229-254
No,Electric-only,229-254
No,Electric-only,229-254
No,Electric-only,229-254
No,Electric-only,229-254
No,Electric-only,229-254
No,Electric-only,229-254
No,Electric-only,229-254
No,Electric-only,229-254
No,Electric-only,229-254
No,Electric-only,229-254
No,Electric-only,229-254
No,Electric-only,229-254
No,Electric-only,229-254
No,Electric-only,229-254
No,Electric-only,229-254
No,Electric-only,229-254
No,Electric-only,229-254
No,Electric-only,229-254
No,Electric-only,229-254
No,Electric-only,229-254
No,Electric-only,229-254
No,Electric-only,229-254
No,Electric-only,229-254
No,Electric-only,229-254
No,Electric-only,229-254
No,Electric-only,229-254
No,Electric-only,229-254
No,Electric-only,229-254
No,Electric-only,229-254
No,Electric-only,229-254
No,Electric-only,229-254
No,Electric-only,229-254
No,Electric-only,229-254
No,Electric-only,229-254
No,Electric-only,229-254
No,Electric-only,229-254
No,Electric-only,229-254
No,Electric-only,229-254 (N)
No,Electric-only,229-254 (N)
No,Electric-only,229-254 (N)
No,Electric-only,229-254 (N)
No,Electric-only,229-254 (N)
No,Electric-only,229-254 (N)
No,Underground-only,229-254 (S)
No,Underground-only,229-254 (S)
No,Underground-only,229-254 (S)
No,Underground-only,229-254 (S)
No,Underground-only,229-254 (S)
No,Underground-only,229-254 (S)
No,Underground-only,229-254 (S)
No,Underground-only,229-254 (S)
No,All,50-51
Yes,All,50-51
Yes,All,50-51
Yes,All,50-51
No,All,51-204
No,All,51-204
No,All,51-204
No,All,51-204
No,All,51-204
No,All,51-204
No,All,51-204
No,All,51-204
No,All,51-204
No,All,51-204
No,All,51-204
Yes,All,51-204
No,All,51-205
No,All,51-205
No,All,51-205
No,All,51-205
No,All,51-205
No,All,51-205
Yes,All,51-205
Yes,All,51-205
No,All,112-226
No,All,111-226
No,All,111-226
Yes,All,111-226
Yes,All,111-226
Yes,All,111-226
Yes,All,111-226
Yes,All,111-226
Yes,All,111-226
No,All,112-226
No,All,112-226
No,All,112-226
No,All,112-226
No,All,112-226
No,All,112-226
No,All,112-226
No,All,112-226
No,All,112-226
No,All,112-226
No,All,112-226
No,All,112-226
No,All,112-226
No,All,112-226
No,All,112-226
No,All,112-226
No,All,17-35
Yes,All,17-35
Yes,All,17-35
Yes,All,17-35
Yes,All,17-35
Yes,All,17-35
Yes,All,17-35
Yes,All,17-35
Yes,All,17-35
Yes,All,17-35
Yes,All,256-257
Yes,All,256-257
No,All,29-36
No,All,29-36
No,All,29-36
No,All,29-36
No,All,29-36
No,All,29-36
No,All,29-36
No,All,29-36
No,All,29-36
No,All,29-36
No,All,29-36
No,All,29-36
No,All,29-36
No,All,29-36
No,All,29-36
No,All,29-36
No,All,29-36
No,All,29-36
No,All,29-36
No,All,29-36
No,All,29-36
No,All,29-36
No,All,29-36
Yes,All,35-111
Yes,All,35-111
Yes,All,35-111
Yes,All,35-111
Yes,All,35-111
Yes,All,35-111
Yes,All,35-111
Yes,All,35-111
No,All,35-43
No,All,35-43
No,All,35-43
No,All,35-43
No,All,35-43
No,All,35-43
No,All,35-43
No,All,35-43
No,All,35-43
No,All,36-112
No,All,36-112
No,All,36-112
No,All,36-112
No,All,36-112
No,All,36-112
No,All,36-112
No,All,36-112
No,All,36-112
No,All,36-112
No,All,36-226
No,All,36-226
No,All,36-226
No,All,36-226
No,All,36-226
No,All,36-226
No,All,36-226
No,All,36-226
No,All,36-226
No,All,36-226
No,All,36-226
No,All,36-226
Yes,All,50-51
No,All,36-228
No,All,36-228
No,All,36-228
No,All,36-228
No,All,36-228
No,All,36-228
No,All,36-228
No,All,36-228
No,All,36-228
No,All,36-228
No,All,36-228
No,All,36-228
No,All,36-228
No,All,36-228
No,All,36-228
No,All,36-228
No,All,36-228
No,All,36-228
No,All,36-228
No,All,36-228
No,All,36-228
No,All,36-228
No,All,36-228
No,All,36-228
No,All,36-228
No,All,36-228
No,All,36-228
No,All,36-228
No,All,36-228
Yes,All,43-111
Yes,All,43-111
Yes,All,43-111
Yes,All,43-111
Yes,All,43-111
Yes,All,43-111
Yes,All,43-111
Yes,All,43-111
Yes,All,43-111
Yes,All,43-111
Yes,All,43-111
Yes,All,43-44
Yes,All,43-44
No,All,49-112
No,All,49-112
No,All,49-112
No,All,49-112
No,All,49-112
No,All,49-112
No,All,49-112
No,All,49-112
No,All,49-112
No,All,49-202
No,All,49-202
No,All,49-202
No,All,49-202
No,All,49-202
No,All,49-202
No,All,49-202
No,All,49-202
No,All,49-202
No,All,49-202
No,All,49-202
No,All,49-202
No,All,50-203
No,All,50-203
No,All,50-203
No,All,50-203
No,All,50-203
No,All,50-203
No,All,50-203
No,All,50-203
No,All,50-203
No,All,50-203
No,All,50-203
No,All,50-203
No,All,50-203
No,All,50-203
No,All,50-203
No,All,50-203
No,All,50-203
No,All,50-203
No,All,50-203
No,All,50-203
No,All,50-203
No,All,50-203
No,All,50-203
No,All,50-203
Yes,All,50-51
No,All,50-203
No,All,50-203
Yes,All,50-203
Yes,All,50-203
Yes,All,50-203
Yes,All,50-203
Yes,All,50-203
Yes,All,50-203
Yes,All,50-203
Yes,All,50-203
Yes,All,50-203
Yes,All,50-203
Yes,All,50-203
Yes,All,50-203
Yes,All,50-203
Yes,All,50-51
Yes,All,50-51
Yes,All,50-51
Yes,All,50-51
Yes,All,50-51
Yes,All,50-51
No,Electric-only,10-246
No,Electric-only,10-246
No,Electric-only,10-246
No,Electric-only,10-246
No,Electric-only,10-246
No,Electric-only,10-246
No,Electric-only,10-246
No,Electric-only,10-246
No,Electric-only,10-246
No,Electric-only,10-246
No,All,101-263
No,All,101-263
No,All,101-263
No,All,101-263
No,All,101-263
No,All,101-263
No,All,101-263
No,All,101-263
No,All,101-263
Yes,All,101-263
Yes,All,101-263
Yes,All,101-263
Yes,All,101-263
Yes,All,101-263
Yes,All,101-263
Yes,All,101-263
Yes,All,11-103
Yes,All,11-103
Yes,All,11-103
Yes,All,11-228
Yes,All,11-228
Yes,All,11-228
Yes,All,4-247
Yes,All,4-247
Yes,All,4-247
Yes,All,4-247
Yes,All,4-247
Yes,All,4-247
Yes,All,4-247
Yes,All,4-247
Yes,All,4-247
Yes,All,4-247
Yes,All,4-247
Yes,All,4-247
Yes,All,4-247
Yes,All,4-247
No,All,230-248
No,All,230-248
No,Electric-only,261-262
Yes,All,3-8
No,All,261-262
No,Electric-only,261-262
No,Electric-only,261-262
No,Electric-only,261-262
No,Electric-only,261-262
No,Electric-only,261-262
No,Electric-only,261-262
No,Electric-only,261-262
No,Electric-only,261-262
No,Electric-only,261-262
No,Electric-only,261-262
No,Electric-only,261-262
No,Electric-only,261-262
No,Electric-only,261-262
No,Electric-only,261-262
No,Electric-only,261-262
No,Electric-only,261-262
No,Electric-only,261-262
No,Electric-only,261-262
No,Electric-only,261-262
No,All,3-8
No,All,3-8
No,All,3-8
No,All,3-8
No,All,3-8
No,All,3-8
No,All,3-8
No,All,3-8
Yes,All,3-8
Yes,All,3-8
Yes,All,3-8
Yes,All,3-8
Yes,All,4-247
Yes,All,4-247
Yes,All,4-247
Yes,All,4-247
Yes,All,4-247
Yes,All,4-247
Yes,All,4-247
Yes,All,4-247
Yes,All,4-247
Yes,All,4-247
Yes,All,4-247
Yes,All,4-247
Yes,All,4-247
Yes,All,4-247
Yes,All,4-247
Yes,All,4-247
Yes,All,4-247
Yes,All,4-247
Yes,All,4-247
Yes,All,4-247
Yes,All,4-247
Yes,All,4-247
Yes,All,4-247
Yes,All,4-247
Yes,All,4-247
Yes,All,4-247
Yes,All,4-247
Yes,All,4-247
Yes,All,4-247
Yes,All,4-247
Yes,All,4-247
Yes,All,4-247
No,All,5-201
No,All,5-201
No,All,5-201
No,All,5-201
No,All,5-201
No,All,5-201
No,All,5-201
No,All,5-201
No,All,5-201
No,All,5-201
No,All,5-201
No,All,7-11
No,All,7-11
No,All,7-11
No,All,7-11
No,All,7-11
No,All,7-11
No,All,7-11
No,All,7-11
No,All,7-11
No,All,7-11
No,All,7-11
No,All,7-11
No,All,7-11
No,All,7-11
No,All,7-11
Yes,All,7-11
Yes,All,7-11
Yes,All,7-11
Yes,All,7-11
Yes,All,7-11
Yes,All,7-11
Yes,All,7-11
Yes,All,7-11
Yes,All,7-11
Yes,All,7-11
Yes,All,7-11
Yes,All,7-11
Yes,All,7-11
Yes,All,7-11
Yes,All,7-11
Yes,All,7-11
Yes,All,7-11
Yes,All,7-11
Yes,All,7-11
Yes,All,7-11
Yes,All,7-11
Yes,All,7-11
No,All,7-24
No,All,7-24
No,All,7-24
No,All,7-24
No,All,7-24
Yes,All,7-24
No,All,7-8
No,All,7-8
No,All,7-8
No,All,7-8
Yes,All,7-8
Yes,All,7-8
Yes,All,7-8
Yes,All,8-104
Yes,All,8-104
Yes,All,8-104
No,Electric-only,115-238
No,Electric-only,115-238
No,Electric-only,115-238
No,Electric-only,115-238
No,Electric-only,115-238
No,Electric-only,115-238
No,Electric-only,115-238
No,Electric-only,115-238
No,Electric-only,115-238
No,Electric-only,115-238
No,Electric-only,115-238
No,Electric-only,115-238
No,Electric-only,115-238
No,Electric-only,115-238
No,Electric-only,115-238
No,Electric-only,115-238
No,Electric-only,115-238
No,Electric-only,115-238
No,Electric-only,115-238
No,Electric-only,115-238
No,Electric-only,115-238
No,Electric-only,115-238
No,Electric-only,115-238
No,Electric-only,115-238
No,Electric-only,115-238
Yes,All,27-225
Yes,All,27-225
Yes,All,27-225
Yes,All,27-225
Yes,All,27-225
Yes,All,27-225
Yes,All,27-225
Yes,All,27-225
Yes,All,27-225
Yes,All,27-225
Yes,All,27-225
Yes,All,27-225
Yes,All,27-266
Yes,All,27-266
Yes,All,27-266
Yes,All,27-266
Yes,All,27-266
Yes,All,27-266
Yes,All,27-266
Yes,All,27-266
Yes,All,27-266
Yes,All,27-266
Yes,All,27-266
Yes,All,27-266
Yes,All,27-266
Yes,All,27-266
Yes,All,27-266
Yes,All,27-266
Yes,All,27-266
Yes,All,27-41
Yes,All,27-41
Yes,All,27-41
Yes,All,27-41
Yes,All,27-41
Yes,All,27-41
Yes,Electric-only,107-268
Yes,Electric-only,107-268
Yes,Electric-only,107-268
Yes,Electric-only,107-268
Yes,Electric-only,107-268
Yes,Electric-only,107-268
Yes,All,108-267
Yes,All,108-267
Yes,All,108-267
Yes,All,23-25
Yes,All,23-25
Yes,All,23-25
Yes,All,23-25
Yes,All,23-25
Yes,All,23-25
Yes,All,23-25
Yes,All,23-25
Yes,All,23-25
Yes,All,23-25
Yes,Electric-only,236-237
Yes,All,23-25
Yes,Electric-only,236-237
Yes,Electric-only,264-265
Yes,Electric-only,264-265
Yes,Electric-only,264-265
Yes,Electric-only,264-265
Yes,Electric-only,264-265
No,All,17-35
No,All,17-35
No,All,17-35
No,All,17-35
No,All,17-35
No,All,17-35
No,All,17-35
No,All,17-35
No,All,17-35
No,All,17-35
Yes,All,17-35
Yes,All,17-35
Yes,All,17-35
Yes,All,17-35
Yes,All,17-35
Yes,All,17-35
Yes,All,17-35
Yes,All,17-35
Yes,All,17-35
Yes,All,17-35
Yes,All,17-35
Yes,All,17-35
Yes,All,17-35
Yes,All,17-35
Yes,All,17-35
Yes,All,17-35
Yes,All,17-35
Yes,All,17-35
Yes,All,17-35
Yes,All,17-35
Yes,All,17-35
Yes,All,17-35
Yes,All,17-35
Yes,All,17-35
Yes,All,17-35
Yes,All,17-35
Yes,All,17-35
Yes,All,17-35
Yes,All,17-35
Yes,All,17-35
Yes,All,17-35
Yes,All,17-35
Yes,All,17-35
Yes,All,17-35
Yes,All,17-35
Yes,All,17-35
Yes,All,17-35
Yes,All,17-35
Yes,All,17-35
Yes,All,17-35
Yes,All,17-35
Yes,All,17-35
Yes,All,17-35
Yes,All,17-35
Yes,All,17-35
Yes,All,17-35
Yes,All,17-35
Yes,All,17-35
No,All,18-224
No,All,18-224
No,All,18-224
No,All,18-224
No,All,18-23
No,All,18-224
No,All,18-23
No,All,18-23
No,All,18-23
No,All,18-23
No,All,18-23
Yes,All,18-23
No,All,18-224
No,All,18-224
No,All,18-224
Yes,All,18-224
Yes,All,18-224
Yes,All,18-224
No,All,18-23
No,All,18-23
No,All,18-23
No,All,18-23
No,All,18-23
No,All,18-23
No,All,18-23
No,All,18-23
No,All,18-23
No,All,18-23
No,All,18-23
No,All,18-23
No,All,18-23
No,All,18-23
No,All,18-23
No,All,18-23
No,All,18-23
No,All,18-23
Yes,All,23-25
No,All,18-23
No,All,18-23
No,All,18-23
No,All,18-23
No,All,18-23
No,All,18-23
No,All,18-23
No,All,18-23
No,All,18-23
No,All,18-23
Yes,All,18-23
Yes,All,18-23
Yes,All,18-23
Yes,All,18-23
Yes,All,18-23
Yes,All,18-23
Yes,All,18-23
Yes,All,18-23
No,All,223-224
No,All,223-224
No,All,223-224
No,All,224-225
No,All,225-231
Yes,All,23-106
Yes,All,23-25
Yes,All,23-106
Yes,All,23-106
Yes,All,23-106
Yes,All,23-106
Yes,All,23-106
Yes,All,23-106
Yes,All,23-25
Yes,All,23-25
Yes,All,23-106
Yes,All,23-25
Yes,All,23-25
Yes,All,23-25
Yes,All,23-25
Yes,All,23-106
Yes,All,23-106
Yes,All,23-106
Yes,All,23-106
Yes,All,23-25
Yes,All,23-25
Yes,All,23-25
Yes,All,23-25
Yes,All,23-25
Yes,All,23-25
Yes,All,23-25
Yes,All,23-25
Yes,All,23-106
Yes,All,23-106
Yes,All,23-106
Yes,All,23-106
Yes,All,23-106
Yes,All,23-106
Yes,All,23-106
Yes,All,23-106
Yes,All,23-106
Yes,All,23-106
Yes,All,23-25
Yes,All,23-25
Yes,All,23-25
Yes,All,23-106
Yes,All,23-106
Yes,All,23-106
Yes,All,23-25
Yes,All,23-25
No,All,27-225
Yes,All,27-225
Yes,All,27-225
Yes,All,27-225
Yes,All,27-225
Yes,All,27-225
Yes,All,27-225
Yes,All,27-225
No,All,37-223 (N)
No,All,37-223 (S)
No,All,37-223 (S)
No,Underground-only,37-223 (S)
No,Underground-only,37-223 (S)
No,Underground-only,37-223 (S)
No,Underground-only,37-223 (S)
No,Underground-only,37-223 (S)
No,All,37-232
Yes,All,37-232
No,All,37-39
No,All,39-113
No,All,39-113
No,All,39-113
No,All,39-231
No,All,39-231
No,All,39-231
No,All,39-231
No,All,39-231
No,All,39-231
Yes,All,43-44
Yes,All,43-44
Yes,All,44-110
Yes,All,44-110
Yes,All,44-110
Yes,All,44-110
Yes,All,44-110
Yes,All,44-110
Yes,All,44-110
Yes,All,44-110
Yes,All,44-110
Yes,All,44-110
Yes,All,44-110
Yes,All,44-110
Yes,All,44-110
Yes,All,44-110
Yes,All,44-110
Yes,All,44-239
Yes,All,47-231
Yes,All,47-231
Yes,All,47-231
Yes,Electric-only,47-231
No,All,11-228
No,All,11-228
No,All,11-228
No,All,11-228
No,All,11-228
No,All,11-228
Yes,All,11-228
Yes,All,11-228
Yes,All,11-228
Yes,All,11-228
Yes,All,11-228
Yes,All,11-228
Yes,All,11-228
Yes,All,11-228
Yes,All,11-228
Yes,All,11-228
Yes,All,11-228
Yes,All,11-228
Yes,All,11-228
Yes,All,11-228
Yes,All,11-228
Yes,All,11-228
Yes,All,11-228
Yes,All,11-228
Yes,All,11-228
Yes,All,11-228
Yes,All,11-228
Yes,All,11-228
Yes,All,11-228
Yes,All,11-228
Yes,All,11-228
Yes,All,11-228
Yes,All,11-228
Yes,All,11-228
Yes,All,11-228
Yes,All,11-228
Yes,All,11-228
Yes,All,11-228
Yes,All,11-228
Yes,All,11-228
Yes,All,11-228
Yes,All,11-228
Yes,All,11-228
Yes,All,11-228
Yes,All,11-228
Yes,All,11-228
Yes,All,11-228
No,All,24-228
No,All,24-228
No,All,24-228
No,All,24-228
No,All,24-228
No,All,24-228
Yes,All,24-228
No,All,250-251
No,All,250-251
No,All,250-251
No,All,250-251
No,All,250-251
No,All,250-251
No,All,250-251
No,All,250-251
No,All,250-251
No,All,250-251
No,All,250-251
No,All,250-251
No,All,250-251
No,All,250-251
No,All,250-251
No,All,250-251
No,All,250-251
No,All,250-251
No,All,250-251
No,All,250-251
No,All,36-228
No,All,36-228
No,All,102-105
No,All,102-105
Yes,"Elec-only, Upgr-only",102-105
Yes,"Elec-only, Upgr-only",102-105
Yes,"Elec-only, Upgr-only",102-105
Yes,"Elec-only, Upgr-only",102-105
Yes,"Elec-only, Upgr-only",102-105
Yes,"Elec-only, Upgr-only",102-105
Yes,"Elec-only, Upgr-only",102-105
Yes,"Elec-only, Upgr-only",102-105
Yes,"Elec-only, Upgr-only",102-105
No,All,229-254
Yes,"Elec-only, Upgr-only",102-105
Yes,"Elec-only, Upgr-only",102-105
Yes,"Elec-only, Upgr-only",102-105
Yes,"Elec-only, Upgr-only",102-105
Yes,"Elec-only, Upgr-only",102-105
Yes,"Elec-only, Upgr-only",102-105
Yes,"Elec-only, Upgr-only",102-105
Yes,"Elec-only, Upgr-only",102-105
Yes,"Elec-only, Upgr-only",102-105
Yes,"Elec-only, Upgr-only",102-105
Yes,"Elec-only, Upgr-only",102-105
Yes,"Elec-only, Upgr-only",102-105
Yes,"Elec-only, Upgr-only",102-105
Yes,"Elec-only, Upgr-only",102-105
Yes,"Elec-only, Upgr-only",102-105
Yes,"Elec-only, Upgr-only",102-105
Yes,"Elec-only, Upgr-only",102-105
Yes,"Elec-only, Upgr-only",102-105
Yes,"Elec-only, Upgr-only",102-105
Yes,"Elec-only, Upgr-only",102-105
Yes,"Elec-only, Upgr-only",102-105
Yes,"Elec-only, Upgr-only",102-105
Yes,"Elec-only, Upgr-only",102-105
No,All,244-245
No,All,229-254
No,All,229-254
No,All,229-254
No,All,229-254
No,All,229-254
No,All,229-254
No,All,229-254
No,All,229-254
No,All,229-254
No,All,229-254
No,All,229-254
No,All,229-254
No,All,229-254
No,All,229-254
No,All,229-254
No,All,229-254
No,All,229-254
No,All,229-254
No,All,229-254
No,All,229-254
No,Underground-only,229-254 (S)
No,Electric-only,229-254 (N)
No,Electric-only,229-254 (N)
No,Electric-only,229-254 (N)
No,Electric-only,229-254 (N)
No,Electric-only,229-254 (N)
No,Underground-only,229-254 (S)
No,Underground-only,229-254 (S)
No,Underground-only,229-254 (S)
No,Underground-only,229-254 (S)
No,Underground-only,229-254 (S)
No,Underground-only,229-254 (S)
No,Underground-only,229-254 (S)
No,Underground-only,229-254 (S)
No,Underground-only,229-254 (S)
No,Underground-only,229-254 (S)
No,Underground-only,229-254 (S)
No,Underground-only,229-254 (S)
No,Underground-only,229-254 (S)
No,Underground-only,229-254 (S)
No,Underground-only,229-254 (S)
No,All,244-245
No,All,244-245
No,All,244-245
No,All,244-245
No,All,244-245
No,All,244-245
